Picture,File Path,Date,Subject,Place,Lat,Long,Lat ,Long,All geo data from,https://www.latlong.net/
Image 3,640Pics\9-26-21,9-26-21,Topiary,44th & Quintara,(37.747721,-122.502868,37.747721,-122.502868,,
Image 4,640Pics\9-26-21,9-26-21,Gus's Truck,44th & Noriega,(37.752794,-122.50322,37.752794,-122.50322,,
Image 5,640Pics\9-26-21,9-26-21,Toyose Sign,Toyose,(37.753045,-122.504739,37.753045,-122.504739,,
Image 6,640Pics\9-26-21,9-26-21,East up Noriega,Noriega,(37.753002,-122.504368,37.753002,-122.504368,,
Image 1,640Pics\9-28-21,9-28-21,Elderly Asian Streetwear,48th & Rivera,(37.745448,-122.506616,37.745448,-122.506616,,
Image 2,640Pics\9-28-21,9-28-21,Seagull,Sloat & GH,(37.735364,-122.508118,37.735364,-122.508118,,
Image 3,640Pics\9-28-21,9-28-21,Seagull,Sloat & GH,(37.735364,-122.508118,37.735364,-122.508118,,
Image 4,640Pics\9-28-21,9-28-21,A road about to be torn down,Sloat & GH,(37.735029,-122.506937,37.735029,-122.506937,,
Image 5,640Pics\9-28-21,9-28-21,Vespa Sticker,LGH & Cutler,(37.736892,-122.50625,37.736892,-122.50625,,
Image 6,640Pics\9-28-21,9-28-21,But Muh Free Parking!,Taraval & 43rd,(37.741969,-122.501585,37.741969,-122.501585,,
Image 1,640Pics\10-2-21,10-2-21,Eel,6th Avenue Aquarium,(37.782936,-122.463909,37.782936,-122.463909,,
Image 2,640Pics\10-2-21,10-2-21,Eel,6th Ave Aquarium,(37.782936,-122.463909,37.782936,-122.463909,,
Image 3,640Pics\10-2-21,10-2-21,Toy Boat Neon Sign,Toy Boat Cafe,(37.782958,-122.463549,37.782958,-122.463549,,
Image 4,640Pics\10-2-21,10-2-21,Toy Boat Neon Sign,Toy Boat Cafe,(37.782958,-122.463549,37.782958,-122.463549,,
Image 5,640Pics\10-2-21,10-2-21,Sutro Tower,California & Commonwealth,(37.786014,-122.45588,37.786014,-122.45588,,
Image 6,640Pics\10-2-21,10-2-21,Giant Camera In Fog,Cliff House,(37.777946,-122.513388,37.777946,-122.513388,,
Image 7,640Pics\10-2-21,10-2-21,Sutro Baths ruins in fog,Sutro Baths,(37.780727,-122.514118,37.780727,-122.514118,,
Image 8,640Pics\10-2-21,10-2-21,Sutro Baths cave,Sutro Baths,(37.780922,-122.514088,37.780922,-122.514088,,
Image 9,640Pics\10-2-21,10-2-21,Sutro Baths cave,Sutro Baths,(37.780922,-122.514088,37.780922,-122.514088,,
Image 10,640Pics\10-2-21,10-2-21,Sutro Baths cave,Sutro Baths,(37.780922,-122.514088,37.780922,-122.514088,,
Image 11,640Pics\10-2-21,10-2-21,Sutro heights overlooking richmond in fog,Sutro Heights,(37.777401,-122.511904,37.777401,-122.511904,,
Image 12,640Pics\10-2-21,10-2-21,64-66 Plymouth Barracuda,47th & Cabrillo,(37.773296,-122.507867,37.773296,-122.507867,,
